Protein,Uniprot AC,RefSeq ID,Review status,Curators,GitBook report,Distance cut-off used for AlloSigma2,Contact calculation mode for AlloSigma2 filtering,Structure source,Description of structure source,Linker design included,PDB ID,Cofactors in starting structure
IKZF2,Q9UKS7,NP_001374149,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
ADH1B,P00325,NP_000659,1,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",https://elelab.gitbook.io/mavisp/proteins/adh-proteins/adh1b/,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
MLF1,P58340,NP_071888,0,"Eirini Giannakopoulou (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
JAK3,P52333,NP_000206,0,"Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
CUX1,P39880,NP_853530,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
H3-3A,P84243,NP_002098,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
ATIC,P31939,NP_004035,0,"Elena Papaleo (DTU, Denmark, DCI, Denmark)",,,,AFDB,AlphaFold database,False,,
RAD17,O75943,NP_579917,0,"Elena Papaleo (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
APOBEC3B,Q9UH17,NP_004891,0,"Guglielmo Tedeschi (DCI, Denmark, UCT, Czech Republic)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
CLEC1B,Q9P126,NP_057593,0,"Eleni Kiachaki (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
EWSR1,Q01844,NP_005234,0,"Michal Sitek (DTU, Denmark)",,,,AF3,AlphaFold3 webserver,False,,
PML,P29590,NP_150241,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
NF2,P35240,NP_000259,0,"Matteo Arnaudi (DCI, Denmark, DTU, Denmark)",,,,AFDB,AlphaFold database,False,,
TEAD2,Q15562,NP_003589,0,"Kristine Degn (DTU, Denmark), Pablo Sanchez-Izquierdo (DTU, Denmark, DCI, Denmark)",,5.5,atomic_contacts,AFDB,AlphaFold database,False,,
