protein,heteroatoms
P04080,NA
Q9BX63,ATP MG
P78333,None
Q12840,ADP AF3 ALF ATP CA CO K MG MN NA NO3 VO4
Q02779,0J9 0LI 112 1E8 1N1 4K4 919 ADP AMP ATP DB8 DKI KS1 MG MXE NA NI PP2 RXT STI STU VX6 ZN
Q7Z3C6,None
Q9NPI8,None
Q9UGJ0,ADP AMP AMZ ATP MG NAI TAM
P31270,None
P42336,144 ATP AX7 BHO CAQ NA PBU SAL SOA URF
P51161,144 CHD RET ZN
Q92615,None
Q969G3,None
P42226,NI
O14874,ADP ATP COI K MG
Q8N7N1,SAH
P07737,CA DTU NA PEO
Q9ULT6,ZN
O60885,1M3 2LO 73B BMF BU3 BYZ LOC NA NO3 O4B PYZ R78 VYJ
Q9HAT8,None
P00338,2OP 6P3 6V0 7MT 88S 9Y7 ADP AMP APR BO3 CA K KAN LAC MLA NA NAD NAI NO3 OAA OXL OXM OXQ PYR ZN
Q9NYV4,2AN 4SP ADN ADP AF3 AMP ATP BYZ LZ1 MG STU YT3
Q07817,1XJ 6AK CA MG NA QHP QHS TAR ZN
Q9Y6S9,1SQ ADE ADP AF3 AMP ATP BUD CA F05 GAB GGB HBD IPH M77 MG MN NA NPO OCT QCT SGV STU TAM UNU VO4 ZN
P00492,3L4 3L5 45T 4UO 5GP 7HP 9DG CA DIO FMB HPA IMP MG MN NA POP XAN XMP YPG ZN
P78549,CA MG NA NO3 SF4
P0C7Q5,None
